data,dias_desde_inicio,media_NBR,std_NBR,media_NDVI,std_NDVI,pixels_validos,scene_id
2020-06-24,0,0.5269154255346516,0.14025982637424506,0.5410285296652809,0.17821858113314093,37685952,LC08_L1TP_227072_20200624_20200823_02_T1
2020-07-10,16,0.5232853762021197,0.1766296811764211,0.5336526795906457,0.21246151482073,38191748,LC08_L1TP_227072_20200710_20200912_02_T1
2020-08-27,64,0.3489043625756428,0.2228840227619104,0.317179585669344,0.14099627374343388,40063697,LC08_L1TP_227072_20200827_20200906_02_T1
2020-09-12,80,0.282623297230764,0.22969854867464237,0.23284106707005825,0.12626032588257388,40088937,LC08_L1TP_227072_20200912_20200919_02_T1
2021-02-19,240,0.5877673959977324,0.15974443833184035,0.6254024028787601,0.19806925315024718,38066577,LC08_L1TP_227072_20210219_20210219_02_T1
2021-05-26,336,0.5608730940094704,0.15987636309101935,0.5801778409121202,0.18902932635718997,40281297,LC08_L1TP_227072_20210526_20210529_02_T1
2021-07-13,384,0.39036020309612013,0.19641999316297312,0.4848483064156734,0.18286678526795253,40688128,LC08_L1TP_227072_20210713_20210721_02_T1
2021-08-14,416,0.32478160710845705,0.1875423510470244,0.423026528793767,0.16014950998773736,40696365,LC08_L1TP_227072_20210814_20210826_02_T1
2021-08-30,432,0.3051751188803622,0.20277311343418897,0.4032602459631616,0.15387063489632716,40696119,LC08_L1TP_227072_20210830_20210909_02_T1
2021-10-01,464,0.2681492524140159,0.22122938600930073,0.3474412211602032,0.1404329109984286,39687348,LC08_L1TP_227072_20211001_20211013_02_T1
2021-12-28,552,0.5963372792876827,0.16552774986135219,0.6475680457722803,0.19217021754761096,40140830,LC09_L1TP_227072_20211228_20230503_02_T1
2022-05-05,680,0.6060319611291018,0.14107289729538533,0.6155363271293586,0.18961685140335394,40752844,LC09_L1TP_227072_20220505_20230417_02_T1
2022-05-13,688,0.611222156475127,0.14209138438007776,0.5826461963668425,0.17526264655241283,40520851,LC08_L1TP_227072_20220513_20220519_02_T1
2022-05-21,696,0.558168101295737,0.13958502902159284,0.5680379158317796,0.16466662469007537,39624517,LC09_L1TP_227072_20220521_20230415_02_T1
2022-06-14,720,0.5429022094878084,0.16436369304902543,0.5683012616320122,0.19298818637700707,40453007,LC08_L1TP_227072_20220614_20220617_02_T1
2022-06-22,728,0.5321949449708349,0.1429962891677996,0.534119709790737,0.16018262002719622,37423894,LC09_L1TP_227072_20220622_20230411_02_T1
2022-06-30,736,0.5345299755718748,0.1531004162843594,0.5482183446841419,0.17828902207770023,40241399,LC08_L1TP_227072_20220630_20220708_02_T1
2022-07-08,744,0.49986917200728276,0.14994017831171597,0.5372297132862934,0.16587841760850747,40801685,LC09_L1TP_227072_20220708_20230408_02_T1
2022-08-17,784,0.47907755206191355,0.1693426669428594,0.43619572431219045,0.13593574614646037,39858086,LC08_L1TP_227072_20220817_20220824_02_T1
2022-09-18,816,0.4259654325893537,0.18550443248163773,0.47339040882761313,0.15175432428462288,40254806,LC08_L1TP_227072_20220918_20220928_02_T1
2022-09-26,824,0.4337003155779487,0.18102415103715214,0.44718817690047213,0.15734672940264297,26027087,LC09_L1TP_227072_20220926_20230327_02_T1
2022-10-28,856,0.5560646587981896,0.16859441337599018,0.6253267997059693,0.17992689444355978,33033776,LC09_L1TP_227072_20221028_20230324_02_T1
2022-11-05,864,0.4945160579966947,0.18645059565087893,0.6102337083012971,0.17885569530425094,40287885,LC08_L1TP_227072_20221105_20221115_02_T1
2022-11-29,888,0.5303726850740123,0.1862807902645314,0.6016310750305573,0.18667644788436485,40774845,LC09_L1TP_227072_20221129_20230320_02_T1
2023-03-29,1008,0.6546736441230612,0.09002305856827385,0.6281414322667296,0.17015291456351125,38134465,LC08_L1TP_227072_20230329_20230405_02_T1
2023-04-22,1032,0.6710888529398832,0.08698382356399678,0.6205406771360106,0.2162714778204848,39884781,LC09_L1TP_227072_20230422_20230422_02_T1
2023-05-16,1056,0.6383750062462008,0.10384835263699334,0.6134628790287869,0.21258525736021733,40686779,LC08_L1TP_227072_20230516_20230523_02_T1
2023-05-24,1064,0.6301788030560153,0.10926185675161137,0.580826436126453,0.20300453752878017,34261191,LC09_L1TP_227072_20230524_20230524_02_T1
2023-06-17,1088,0.6118907886938365,0.12017458572909578,0.5893227986052012,0.2129825595287589,40687487,LC08_L1TP_227072_20230617_20230623_02_T1
2023-06-25,1096,0.5889275546174474,0.12958594196989512,0.551960932580549,0.19064253159157418,40824489,LC09_L1TP_227072_20230625_20230625_02_T1
2023-07-03,1104,0.5545594421152251,0.13687613075351257,0.5662009189809933,0.1969855655244722,40689474,LC08_L1TP_227072_20230703_20230711_02_T1
2023-08-04,1136,0.47356840650097926,0.1633120418216588,0.5273570623594739,0.18314785037928716,40692674,LC08_L1TP_227072_20230804_20230811_02_T1
2023-08-28,1160,0.4479059494918323,0.17879253686051572,0.4859282542554348,0.1559307881749471,40665048,LC09_L1TP_227072_20230828_20230828_02_T1
2023-10-15,1208,0.4549265375805129,0.1977293374469779,0.5418469622025461,0.18511381652228825,40825405,LC09_L1TP_227072_20231015_20231015_02_T1
2023-10-23,1216,0.4520778189369492,0.19946630713945618,0.5087350367010133,0.15746470668659834,40012893,LC08_L1TP_227072_20231023_20231031_02_T1
2023-11-08,1232,0.41402387019636955,0.219089169045742,0.5178050449427205,0.19240734459807882,40111792,LC08_L1TP_227072_20231108_20231117_02_T1
2023-12-18,1272,0.48680316984648786,0.251910564477427,0.5840210086773839,0.19483363919491314,40344677,LC09_L1TP_227072_20231218_20231218_02_T1
